Physical Address Suburb,2017-18 Australian Government Funding
HARVEY,2271224.53
BENTLEY,6943471.64
PINJARRA,2176626.02
CRAIGIE,1045022.16
LESMURDIE,2408658.81
ARMADALE,5299669.93
MANJIMUP,2067504.13
BROADWATER,7260994.89
HIGHGATE,3393095.00
SPENCER PARK,1819908.47
EMU POINT,3969779.07
NORTH PERTH,1719929.31
HELENA VALLEY,371769.99
MANDURAH,6369910.02
BULL CREEK,4046088.90
WILLAGEE,3229345.32
KOJONUP,1344336.31
OSBORNE PARK,4349837.81
KARRINYUP,3282787.15
LESMURDIE,2383526.08
SHELLEY,2389153.93
MARANGAROO,8440768.60
KALGOORLIE,1747347.28
COLLIE,3572312.32
WEST LEEDERVILLE,2642971.53
GOSNELLS,6929373.38
LEEDERVILLE,4119596.96
DIANELLA,3414245.19
BUNBURY,4252370.53
KATANNING,1459707.26
MENORA,2834327.86
MOUNT LAWLEY,3228082.41
NORTH FREMANTLE,5033788.56
KELLERBERRIN,2950050.52
CANNING VALE,4271747.11
BELMONT,2623571.48
JOONDANNA,1948022.16
EAST PERTH,2505822.77
CAMILLO,2485776.26
BAYSWATER,1947250.13
WAGIN,884664.56
COTTESLOE,4725859.18
BULL CREEK,2702948.23
DONNYBROOK,2173773.16
WAROONA,2823221.06
BRIDGETOWN,990619.16
HAMILTON HILL,2665930.10
GERALDTON,6127216.90
ARMADALE,582506.07
NORTHAM,2221586.28
WANNEROO,4434858.13
JOONDANNA,3699147.55
MOUNT LAWLEY,2858123.98
EAST FREMANTLE,2162408.44
BENTLEY,2866622.55
BENTLEY,3731493.90
BENTLEY,3453046.75
GOSNELLS,3663179.26
NEDLANDS,484807.86
NEDLANDS,7248759.05
MENORA,11073518.15
GWELUP,1831175.29
MORLEY,2551202.69
MEADOW SPRINGS,3698466.18
DIANELLA,5243859.83
WHITE GUM VALLEY,6487580.48
BROOME,3213479.14
MUNDARING,3035392.42
SALTER POINT,7436386.85
ROEBOURNE,1386745.22
DUNCRAIG,1966639.51
EDGEWATER,2058199.34
BYFORD,4911882.99
HALLS CREEK,1754875.04
MOSMAN PARK,2608473.62
INNALOO,1866101.68
DERBY,919124.43
MIDLAND,4513616.90
JOONDALUP,1576015.39
MARANGAROO,2857942.02
KINGSLEY,1406573.59
COOLOONGUP,2184195.85
BULL CREEK,2446322.40
SOUTH LAKE,2530291.79
HUNTINGDALE,2559541.20
LESMURDIE,2605920.89
EAST PERTH,2571298.46
COOLBELLUP,2418961.58
REDCLIFFE,4005596.81
BALCATTA,6355428.68
KINGSLEY,2341220.07
GUILDFORD,1356697.30
MERRIWA,3161836.35
YAKAMIA,6175306.37
KINROSS,2864297.92
COODANUP,3362038.81
WILLETTON,1531835.46
MARTIN,1082558.68
FORRESTFIELD,3886448.87
MOUNT LAWLEY,1097853.04
COOLOONGUP,3721647.90
NARROGIN,1643894.97
COMO,2771841.96
WYNDHAM,501172.01
BICTON,2347327.84
SALTER POINT,6978363.47
INNALOO,2396016.97
WILSON,4201492.73
SPEARWOOD,4852814.42
GREENFIELDS,7351522.97
BALCATTA,5076460.92
MYAREE,2722991.71
JOONDALUP,4730236.39
WAIKIKI,4862838.06
JOONDALUP,6925524.95
NORANDA,4796361.71
ROSSMOYNE,4807162.79
ELLENBROOK,5084816.20
KELMSCOTT,2936608.77
CAREY PARK,6251957.25
ESPERANCE,4027080.98
BUNBURY,1837999.68
FERNDALE,8496436.63
REDCLIFFE,1753338.21
KELMSCOTT,4668363.28
SUBIACO,4742289.94
CLAREMONT,4907822.26
INGLEWOOD,4775847.40
BROOKTON,2985205.70
DERBY,2011287.39
HILTON,8857941.21
MOUNT LAWLEY,3420133.44
NORTH PERTH,6649773.79
EAST FREMANTLE,3817257.92
EMBLETON,5809449.32
GLENDALOUGH,3393820.42
SHENTON PARK,5484763.26
DIANELLA,2597931.89
BULL CREEK,5893332.57
SHENTON PARK,2545338.56
NORTH PERTH,2734559.60
GUILDFORD,3909050.57
GREENMOUNT,8006013.76
WEST PERTH,4929641.26
MOUNT LAWLEY,2064269.24
MIDLAND,3725740.76
BLUFF POINT,7835676.11
BENTLEY,7670009.92
FREMANTLE,3098627.89
ROCKINGHAM,3476082.12
CARLISLE,8466122.46
BENTLEY,12242993.57
MOSMAN PARK,2656972.11
MOSMAN PARK,3491473.63
ROSSMOYNE,3946356.59
SOUTH BUNBURY,5557085.06
ARMADALE,6290866.24
RIVERVALE,3976550.07
KALGOORLIE,1648344.96
CARMEL,4601524.22
BASSENDEAN,5050223.49
MAYLANDS,7348116.49
CARLISLE,4931453.66
COMO,5082044.57
WEMBLEY,366311.91
COMO,9105731.40
MIDLAND,6678874.50
HAMILTON HILL,7287233.83
MELVILLE,6743351.79
WEST LEEDERVILLE,5487067.64
ST JAMES,4894118.91
APPLECROSS,6145171.32
SOUTH PERTH,6913946.43
BUNBURY,5460158.50
WEMBLEY,8598930.27
NARROGIN,3661079.35
YAKAMIA,4274929.54
GERALDTON,5786183.90
HALLS HEAD,5689844.40
CALISTA,8076441.36
DUDLEY PARK,4265304.15
COMO,3256429.51
DUNCRAIG,4410841.55
GOSNELLS,7414232.99
NORTHAM,3056748.36
WILSON,4738179.61
ROCKINGHAM,7543338.42
MANJIMUP,2613763.84
KENSINGTON,3571092.01
WANNEROO,4517109.02
SUCCESS,4842305.05
SPENCER PARK,5865536.13
BAYSWATER,6106353.99
WANNEROO,5983701.21
MEADOW SPRINGS,6295774.82
SOUTH KALGOORLIE,5434195.44
MURDOCH,8140710.72
BATEMAN,4961994.65
INNALOO,6174827.22
MT HAWTHORN,566425.96
BROADWATER,7072708.30
MERRIWA,3369085.30
DUDLEY PARK,3534383.12
MADDINGTON,3377485.63
SHOALWATER,10117759.24
MADELEY,8193853.87
EATON,9661738.54
BAYSWATER,7118937.56
KATANNING,1263108.05
PEMBERTON,426637.55
PORT DENISON,1376451.50
BEVERLEY,754006.05
AUGUSTA,1277671.55
LAKE GRACE,574130.40
KONDININ,622084.10
NORSEMAN,395411.80
RAVENSTHORPE,470700.35
MULLEWA,264932.98
THREE SPRINGS,1028245.15
MORAWA,614174.55
MOORA,1515644.25
MERREDIN,920300.84
DENMARK,1730023.35
YORK,1119933.15
MEEKATHARRA,1402768.00
LAVERTON,304738.50
NORTHAMPTON,1408228.40
BOYUP BROOK,707800.70
DALWALLINU,794882.40
DUMBLEYUNG,327423.25
BRUCE ROCK,666675.28
QUARAIDING,500714.30
CORRIGIN,644531.60
NANNUP,417640.30
WONGAN HILLS,553708.65
MARGARET RIVER,3183116.58
YANCHEP,10647063.78
MINDARIE,6216201.92
GWELUP,7667751.96
PORT KENNEDY,9863606.12
YOKINE,9148722.95
KUNUNURRA,715722.14
DUDLEY PARK,9825204.84
BOORAGOON,5211578.02
KINGSLEY,6340401.98
EXMOUTH,391086.55
MOUNT BARKER,1754471.05
BAYSWATER,3616035.31
MERRIWA,5478437.81
BICTON,3350349.86
KINGSLEY,8360636.59
NGAANYATJARRA-GILES,1205332.20
SOUTH HEDLAND,3362221.59
BROADWATER,9586872.06
AUBIN GROVE,5351887.16
CLAREMONT,3929775.82
GERALDTON,774160.76
ALBANY,466854.00
BUNBURY,957050.70
EMBLETON,4811034.60
REDCLIFFE,5399224.45
SPEARWOOD,7221920.65
ELLENBROOK,7740907.89
BURSWOOD,299048.98
KINGSLEY,7357029.60
YORK,1570767.27
KINGSLEY,1273750.74
BAYSWATER,4320269.58
JOLIMONT,5453162.18
KUNUNURRA,16512.08
SCARBOROUGH,153509.58
CARNARVON,885979.10
ALBANY,945496.38
SOUTH KALGOORLIE,21925.05
SOUTH KALGOORLIE,333475.81
RIVERVALE,5787976.58
RIVERVALE,3705249.90
RIVERVALE,3537938.60
RIVERVALE,1258041.72
RIVERVALE,1462997.63
RIVERVALE,307124.48
RIVERVALE,565642.90
GOSNELLS,416548.74
ASCOT,1373559.79
SOUTH BUNBURY,54640.53
SOUTH BUNBURY,605298.57
ASCOT,249573.46
ASCOT,751674.12
ROCKINGHAM,1498258.42
SOUTH BUNBURY,1358938.33
ASCOT,28258.24
ASCOT,694874.62
BAYSWATER,1248426.97
WARWICK,1666654.52
PORT KENNEDY,2026268.06
BUNBURY,2956845.87
WARWICK,50108.88
WARWICK,533442.09
PORT KENNEDY,1130265.85
BERESFORD,398036.82
BUNBURY,420535.97
WARWICK,2714027.42
GERALDTON,1056909.76
DIANELLA,97379.12
DIANELLA,1415454.39
ROCKINGHAM,599174.09
CURRAMBINE,7902176.11
ROCKINGHAM,4103582.38
ROCKINGHAM,2726440.94
WEMBLEY,3173088.77
WEMBLEY,729147.84
WEMBLEY,1723591.64
HAMILTON HILL,701535.85
SOUTH BUNBURY,1698094.74
MANDURAH,277400.89
MANDURAH,1612296.29
MANDURAH,377120.44
EAST VICTORIA PARK,1041191.17
ARMADALE,719598.92
SPENCER PARK,47910.96
SPENCER PARK,161011.82
SPENCER PARK,170512.50
ESPERANCE,589693.55
ESPERANCE,602103.57
KUNUNURRA,178402.39
GOSNELLS,1516456.20
MIDLAND,305945.07
WEST PERTH,916656.18
WEST PERTH,7313824.92
PERTH,2149659.53
BENTLEY,417745.46
NORTHAM,15216.85
BENTLEY,507467.74
BENTLEY,4217818.90
NORTHAM,1798903.40
BENTLEY,3856313.88
BROOME,1736198.68
BROOME,692990.34
VICTORIA PARK,770234.57
VICTORIA PARK,2916084.94
VICTORIA PARK,2289008.15
KUNUNURRA,185944.03
BALCATTA,1143296.90
NARROGIN,224589.79
EAST PERTH,740129.52
WAROONA,367354.19
WAROONA,653799.19
NORTHBRIDGE,3150536.90
OSBORNE PARK,342110.25
OSBORNE PARK,974955.37
JANDAKOT,632698.29
JANDAKOT,894775.12
OSBORNE PARK,2618156.07
OSBORNE PARK,1807980.46
JANDAKOT,1484147.40
JANDAKOT,2303435.21
MAYLANDS,2298687.85
NORTHAM,1923678.45
NORTHAM,963168.26
MIDDLE SWAN,2880658.80
LESMURDIE,240900.61
LESMURDIE,1505665.46
BEACHLANDS,1102073.97
MENORA,633379.46
MENORA,630429.06
BEACHLANDS,424858.24
NORTHAM,465399.73
MIRA MAR,1281632.31
MADDINGTON,2493069.76
CAREY PARK,2795042.42
GERALDTON,901070.44
KALGOORLIE,195680.78
MADDINGTON,1318803.87
MYAREE,5304741.05
NORTHAM,966562.41
HIGHGATE,2608673.89
GERALDTON,1457772.52
BOULDER,693251.95
MIRA MAR,2203880.02
KINGSLEY,3791818.77
MADDINGTON,3493819.60
CAREY PARK,1472101.35
GREENFIELDS,4633220.02
TOODYAY,1169773.53
MANNING,1432497.99
MANNING,644711.45
MANNING,239467.38
RIVERVALE,135170.93
BROOME,196318.17
RIVERVALE,1217358.31
SOUTH HEDLAND,640057.98
RIVERVALE,881136.50
RIVERVALE,980688.17
BROOME,384807.01
BUSSELTON,1221878.97
RIVERVALE,353157.17
RIVERVALE,6246823.81
SOUTH HEDLAND,694441.68
BROOME,161371.24
BUSSELTON,1080218.41
RIVERVALE,3782932.87
NORTH PERTH,946595.40
NORTH PERTH,501532.00
NORTH PERTH,141024.26
WEST PERTH,7889859.76
WEST PERTH,259401.06
WEST PERTH,768825.68
WEST PERTH,355519.39
WEST PERTH,1639974.90
WEST PERTH,942992.42
VICTORIA PARK,3255763.33
VICTORIA PARK,2553631.91
VICTORIA PARK,1447745.39
BROADWATER,517590.47
BROADWATER,477660.11
BROADWATER,109267.44
MIDLAND,501571.06
BENTLEY,300962.05
ASHFIELD,626887.77
PERTH,1092273.94
TURKEY CREEK,221429.65
JOONDALUP,200508.18
WILUNA,371875.12
COMO,618904.88
BICTON,1948832.17
WILLAGEE,5819045.11
MOUNT CLAREMONT,0.00
JOONDALUP,2124586.43
WEST PERTH,403421.51
VICTORIA PARK,1798728.25
MOSMAN PARK,4084209.01
REDCLIFFE,4529070.55
BUNBURY,504660.37
EAST VICTORIA PARK,435981.51
DUNCRAIG,614468.06
GUILDFORD,309003.29
GWELUP,5733508.46
ALBANY,631620.63
OSBORNE PARK,2117088.40
GERALDTON,191875.71
BUNBURY,453985.14
TOODYAY,386370.60
BUSSELTON,193350.76
FITZROY CROSSING,1840069.05
GNOWANGERUP,528768.20
KOJONUP,190606.65
KELLERBERRIN,292237.25
NAREMBEEN,756322.78
WYALKATCHEM,552029.65
SOUTHERN CROSS,750217.35
KUNUNOPPIN,292876.06
GOOMALLING,614371.65
LEONORA,297745.10
JURIEN BAY,281089.68
MANNING,231441.80
WILSON,374182.15
WOODLANDS,468953.90
BEDFORD,739006.53
ARMADALE,882882.69
ROEBOURNE,154960.55
BURSWOOD,169533.42
KINGSLEY,1145058.62
MOSMAN PARK,411597.98
OSBORNE PARK,124922.19
MANDURAH,28588.72
LANDSDALE,72741.17
CLAREMONT,297216.47
JOONDALUP,387329.45
MARANGAROO,25079.73
MADDINGTON,535867.20
KINROSS,382008.36
BULL CREEK,351155.40
GUILDFORD,52774.80
MIRA MAR,126253.56
CAREY PARK,72463.86
GERALDTON,1843.34
GERALDTON,316302.22
STIRLING,344948.44
APPLECROSS,3356615.75
NEWMAN,226946.32
PERTH,625019.31
SUBIACO,1015327.88
PERTH,208323.86
MANJIMUP,224149.57
OSBORNE PARK,718382.87
CITY BEACH,160846.26
SOUTH BUNBURY,58066.31
PINJARRA,19321.93
BUNBURY,107253.47
ARDROSS,512311.39
PALMYRA,385787.59
ALBANY,2389101.07
MOUNT CLAREMONT,95061.23
BENTLEY,3441513.58
HARVEY,190065.74
SOUTH PERTH,6775.05
PINJARRA,11554.81
WEST PERTH,175236.61
O'CONNOR,42985.38
NORTH PERTH,12094.11
O'CONNOR,9210.12
COTTESLOE,5403.37
