,LGA,Over 65 total per LGA
0,ALBANY ,7563.0
1,ARMADALE ,9061.0
2,ASHBURTON ,220.0
3,AUGUSTA-MARGARET RIVER ,2065.0
4,BASSENDEAN ,2380.0
5,BAYSWATER ,10034.0
6,BELMONT ,5358.0
7,BEVERLEY ,478.0
8,BODDINGTON ,231.0
9,BOYUP BROOK ,382.0
10,BRIDGETOWN-GREENBUSHES ,1114.0
11,BROOKTON ,244.0
12,BROOME ,1053.0
13,BROOMEHILL-TAMBELLUP ,161.0
14,BRUCE ROCK ,219.0
15,BUNBURY ,5937.0
16,BUSSELTON ,7220.0
17,CAMBRIDGE ,4238.0
18,CANNING ,11810.0
19,CAPEL ,1847.0
20,CARNAMAH ,104.0
21,CARNARVON ,773.0
22,CHAPMAN VALLEY ,231.0
23,CHITTERING ,831.0
24,CLAREMONT ,2292.0
25,COCKBURN ,12120.0
26,COLLIE ,1549.0
27,COOLGARDIE ,296.0
28,COOROW ,240.0
29,CORRIGIN ,240.0
30,COTTESLOE ,1395.0
31,CRANBROOK ,226.0
32,CUBALLING ,180.0
33,CUE ,39.0
34,CUNDERDIN ,232.0
35,DALWALLINU ,214.0
36,DANDARAGAN ,720.0
37,DARDANUP ,2126.0
38,DENMARK ,1461.0
39,DERBY-WEST KIMBERLEY ,475.0
40,DONNYBROOK-BALINGUP ,1215.0
41,DOWERIN ,134.0
42,DUMBLEYUNG ,100.0
43,DUNDAS ,124.0
44,EAST FREMANTLE ,1198.0
45,EAST PILBARA ,219.0
46,ESPERANCE ,2296.0
47,EXMOUTH ,300.0
48,FREMANTLE ,5214.0
49,GINGIN ,1218.0
50,GNOWANGERUP ,156.0
51,GOOMALLING ,207.0
52,GOSNELLS ,13799.0
53,GREATER GERALDTON ,5690.0
54,HALLS CREEK ,158.0
55,HARVEY ,3792.0
56,IRWIN ,925.0
57,JERRAMUNGUP ,143.0
58,JOONDALUP ,21876.0
59,KALAMUNDA ,9376.0
60,KALGOORLIE/BOULDER ,2094.0
61,KARRATHA ,535.0
62,KATANNING ,703.0
63,KELLERBERRIN ,308.0
64,KENT ,65.0
65,KOJONUP ,403.0
66,KONDININ ,132.0
67,KOORDA ,89.0
68,KULIN ,140.0
69,KWINANA ,3566.0
70,LAKE GRACE ,171.0
71,LAVERTON ,56.0
72,LEONORA ,87.0
73,MANDURAH ,18324.0
74,MANJIMUP ,1803.0
75,MEEKATHARRA ,80.0
76,MELVILLE ,18249.0
77,MENZIES ,39.0
78,MERREDIN ,517.0
79,MINGENEW ,64.0
80,MOORA ,404.0
81,MORAWA ,111.0
82,MOSMAN PARK ,1556.0
83,MOUNT MAGNET ,84.0
84,MOUNT MARSHALL ,86.0
85,MUKINBUDIN ,95.0
86,MUNDARING ,6346.0
88,MURRAY ,3621.0
89,NANNUP ,344.0
90,NAREMBEEN ,165.0
91,NARROGIN ,943.0
92,NEDLANDS ,3816.0
93,NGAANYATJARRAKU ,102.0
94,NORTHAM ,1970.0
95,NORTHAMPTON ,760.0
96,NUNGARIN ,39.0
97,PEPPERMINT GROVE ,280.0
98,PERENJORI ,55.0
99,PERTH ,2103.0
100,PINGELLY ,286.0
101,PLANTAGENET ,1039.0
102,PORT HEDLAND ,489.0
103,QUAIRADING ,266.0
104,RAVENSTHORPE ,376.0
105,ROCKINGHAM ,15405.0
106,SANDSTONE ,30.0
107,SERPENTINE-JARRAHDALE ,2461.0
108,SHARK BAY ,182.0
109,SOUTH PERTH ,6623.0
110,STIRLING ,32473.0
111,SUBIACO ,3218.0
112,SWAN ,13804.0
113,TAMMIN ,46.0
114,THREE SPRINGS ,110.0
115,TOODYAY ,1041.0
116,TRAYNING ,73.0
117,UPPER GASCOYNE ,24.0
118,VICTORIA PARK ,4745.0
119,VICTORIA PLAINS ,154.0
120,VINCENT ,3632.0
121,WAGIN ,462.0
122,WANDERING ,79.0
123,WANNEROO ,18652.0
124,WAROONA ,863.0
125,WEST ARTHUR ,143.0
126,WESTONIA ,32.0
127,WICKEPIN ,136.0
128,WILLIAMS ,171.0
129,WILUNA ,36.0
130,WONGAN-BALLIDU ,197.0
131,WOODANILLING ,53.0
132,WYALKATCHEM ,154.0
133,WYNDHAM-EAST KIMBERLEY ,442.0
134,YALGOO ,24.0
135,YILGARN ,175.0
136,YORK ,948.0
137,NO USUAL ADDRESS ,753.0
Total per age,TOTAL FOR WA,345601.0
